Uniprot	Exp012_Bae_Liver_Control	Exp017_Yu_S16_SMase	Exp018_Yu_S16_SMase	Exp019_Yu_S16_SMase	Exp025_Man_RNK-16_Control	Exp026_Man_RNK-16_Control	Exp027_Man_RNK-16_Control	Exp035_Jia_Synaptosome_MbCD	Exp046_Welker_Liver_Control	Exp075_Chintagari_Pneumocyte_Control	Exp080_Ponce_Embryonic_cortical_neuron_Simvastatin	Exp081_Williamson_Embryonic_cortical_neuron_Control	Exp082_Williamson_Embryonic_cortical_neuron_Control	Exp087_Suzuki_Post_synaptic_membrane_Control	Exp100_Hur_Brain_Control	Exp101_Hur_Brain_Control
P25113	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P25235	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P25286	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P26051	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
P26284	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P26453	1	0	0	0	1	1	1	0	0	0	0	0	1	0	1	1
P27274	0	0	0	0	1	1	1	0	0	0	0	1	1	0	1	0
P27471	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
P27615	1	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0
P27791	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P28023	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0
P28073	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P28480	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0
P29418	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P29419	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0
P29826	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
P29994	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P30009	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P30839	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P31000	0	1	1	1	0	0	0	0	0	1	0	1	1	0	0	0
P31016	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0
P31399	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0
P31596	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0
P31662	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P32089	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P32551	1	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0
P32736	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1
P34058	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P35053	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P35171	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P35434	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P35435	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0
P35439	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
P35565	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1
P35571	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P35704	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1
P38650	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1
P42123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
P42667	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P45592	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1
P46101	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P46462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
P47819	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1
P47858	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P47860	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1
P47942	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P47971	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P48284	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
P48721	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P49134	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P49432	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	1
P49803	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P50398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
P50408	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1
P52303	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0
P53534	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P53987	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0
P54290	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1
P54311	0	1	0	1	0	0	0	0	0	0	0	1	1	0	1	1
P54313	0	1	1	0	0	0	0	1	0	0	0	1	1	1	0	0
P55161	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1
P58200	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P59215	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1	1
P60570	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P60756	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0
P60881	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0
P60905	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P61023	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P61107	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
P61265	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
P61589	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0
P61621	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P61751	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P61765	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0
P61805	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P61980	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P61983	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0
P62161	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P62198	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P62250	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P62260	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P62494	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
P62630	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P62747	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P62762	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P62804	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P62815	1	1	1	1	0	0	0	0	0	0	0	1	1	1	0	0
P62882	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P62944	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0
P63012	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
P63018	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0
P63039	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0
P63045	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0
P63079	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
P63081	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	1
P63088	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P63095	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P63102	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0
P63170	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P63259	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1
P63319	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
