Uniprot	Exp020_Sleight_Sperm_Control	Exp028_Kim_Liver_Control	Exp029_Kim_Lung_Control	Exp030_Kim_Kidney_Control	Exp031_Kim_Brain_Control	Exp041_Ishmael_Brain_Control	Exp043_Yu_Neonatal_brain_Control	Exp058_Dhungana_RAW264.7_LPS	Exp059_Dhungana_RAW264.7_LPS	Exp060_Dhungana_RAW264.7_LPS	Exp061_Dhungana_RAW264.7_LPS	Exp062_Asano_Sperm_Control	Exp063_Ogawa_Optic_nerve_Control	Exp065_Kim_3T3-L1_Control	Exp066_Nixon_Sperm_Control	Exp070_Zhai_Spinal_cord_Control	Exp076_Kim_C2C12_Control	Exp085_Davalos_Lung_Control	Exp088_Zheng_MEF_Control	Exp089_Zheng_MEF_Control	Exp090_Zheng_MEF_Control	Exp091_Zheng_MEF_Control	Exp092_Zheng_MEF_MbCD	Exp093_Zheng_MEF_Control	Exp095_Poston_NG108-15_Control	Exp096_Goyette_J774_Control	Exp112_Boscher_MEF_Control	Exp113_Boscher_MEF_Control	Exp115_Uyy_Lung_Control
P63017	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	1	0	0	0	1	1	1	1	0	1	1	1	0
P63038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0
P63044	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	1	0
P63082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
P63094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0
P63101	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	1	0	0	1	1	1	0
P63213	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1	1	1	0
P63276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0
P63321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	1	1	0
P63328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
P67778	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	1	0	0	1	1	1	0
P68181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
P68254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
P68372	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	1	1	0
P68510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1	0	0	0	1	1	0
P70168	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	1	1	1	0
P70296	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0
P80313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	1	1	0
P80315	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	0	0	0	1	1	0
P80317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	1	1	0
